Date,Open,High,Low,Close,Adj Close,Volume
11/1/15,17672.61914,17977.84961,17210.42969,17719.91992,17719.91992,2334610000
12/1/15,17719.7207,17901.58008,17116.73047,17425.0293,17425.0293,2521440000
1/1/16,17405.48047,17405.48047,15450.55957,16466.30078,16466.30078,2844080000
2/1/16,16453.63086,16795.98047,15503.00977,16516.5,16516.5,2491810000
3/1/16,16545.66992,17790.10938,16545.66992,17685.08984,17685.08984,2407750000
4/1/16,17661.74023,18167.63086,17484.23047,17773.64063,17773.64063,2096650000
5/1/16,17783.7793,17934.60938,17331.07031,17787.19922,17787.19922,1879010000
6/1/16,17754.55078,18016,17063.08008,17929.99023,17929.99023,2350020000
7/1/16,17924.24023,18622.00977,17713.44922,18432.24023,18432.24023,1816520000
8/1/16,18434.5,18722.60938,18247.78906,18400.88086,18400.88086,1695750000
9/1/16,18396.57031,18551.53906,17992.21094,18308.15039,18308.15039,2101120000
10/1/16,18279.59961,18399.96094,17959.94922,18142.41992,18142.41992,1793690000
11/1/16,18158.24023,19225.28906,17883.56055,19123.58008,19123.58008,2107770000
12/1/16,19149.19922,19987.63086,19138.78906,19762.59961,19762.59961,5952470000
1/1/17,19872.85938,20125.58008,19677.93945,19864.08984,19864.08984,6482900000
2/1/17,19923.81055,20851.33008,19831.08984,20812.24023,20812.24023,6185580000
3/1/17,20957.28906,21169.10938,20412.80078,20663.2207,20663.2207,6941970000
4/1/17,20665.16992,21070.90039,20379.55078,20940.50977,20940.50977,5392630000
5/1/17,20962.73047,21112.32031,20553.44922,21008.65039,21008.65039,6613570000
6/1/17,21030.55078,21535.0293,20994.2207,21349.63086,21349.63086,7214590000
7/1/17,21392.30078,21929.80078,21279.30078,21891.11914,21891.11914,5569720000
8/1/17,21961.41992,22179.10938,21600.33984,21948.09961,21948.09961,6150060000
9/1/17,21981.76953,22419.50977,21709.63086,22405.08984,22405.08984,6342130000
10/1/17,22423.4707,23485.25,22416,23377.24023,23377.24023,7302910000
11/1/17,23442.90039,24327.82031,23242.75,24272.34961,24272.34961,7335640000
12/1/17,24305.40039,24876.07031,23921.90039,24719.2207,24719.2207,6589890000
1/1/18,24809.34961,26616.71094,24741.69922,26149.39063,26149.39063,9116920000
2/1/18,26083.03906,26306.69922,23360.28906,25029.19922,25029.19922,9450250000
3/1/18,25024.03906,25449.15039,23509.06055,24103.10938,24103.10938,8873040000
4/1/18,24076.59961,24858.9707,23344.51953,24163.15039,24163.15039,8064550000
5/1/18,24117.28906,25086.49023,23531.31055,24415.83984,24415.83984,7278020000
6/1/18,24542.08984,25402.83008,23997.21094,24271.41016,24271.41016,7411110000
7/1/18,24161.5293,25587.24023,24077.56055,25415.18945,25415.18945,5408500000
8/1/18,25461.63086,26167.93945,24965.76953,25964.82031,25964.82031,5635410000
9/1/18,25916.07031,26769.16016,25754.32031,26458.31055,26458.31055,5262500000
10/1/18,26598.35938,26951.81055,24122.23047,25115.75977,25115.75977,8373350000
11/1/18,25142.08008,26277.82031,24268.74023,25538.46094,25538.46094,7226940000
12/1/18,25779.57031,25980.21094,21712.5293,23327.46094,23327.46094,8101540000
1/1/19,23058.60938,25109.61914,22638.41016,24999.66992,24999.66992,7189200000
2/1/19,25025.31055,26241.41992,24883.03906,25916,25916,5434540000
3/1/19,26019.66992,26155.98047,25208,25928.67969,25928.67969,6734060000
4/1/19,26075.09961,26695.96094,26062.58984,26592.91016,26592.91016,5854600000
5/1/19,26639.06055,26689.39063,24809.50977,24815.03906,24815.03906,6358230000
6/1/19,24830.16016,26907.36914,24680.57031,26599.96094,26599.96094,5544390000
7/1/19,26805.85938,27398.67969,26616.21094,26864.26953,26864.26953,5207470000
8/1/19,26879.85938,27175.58984,25339.59961,26403.2793,26403.2793,8170730000
9/1/19,26198.25977,27306.73047,25978.2207,26916.83008,26916.83008,5045520000
10/1/19,26962.53906,27204.35938,25743.46094,27046.23047,27046.23047,5660960000
11/1/19,27142.94922,28174.9707,27142.94922,28051.41016,28051.41016,4925180000
12/1/19,28109.74023,28701.66016,27325.13086,28538.43945,28538.43945,5086880000
1/1/20,28638.9707,29373.61914,28169.5293,28256.0293,28256.0293,6170770000
2/1/20,28319.65039,29568.57031,24681.00977,25409.35938,25409.35938,6991990000
3/1/20,25590.50977,27102.33984,18213.65039,21917.16016,21917.16016,15521140000
4/1/20,21227.38086,24764.76953,20735.01953,24345.7207,24345.7207,9795600000
5/1/20,24120.7793,25758.78906,22789.61914,25383.10938,25383.10938,7940630000
6/1/20,25342.99023,27580.21094,24843.17969,25812.88086,25812.88086,9710480000
7/1/20,25879.38086,27071.33008,25523.50977,26428.32031,26428.32031,8210370000
8/1/20,26542.32031,28733.34961,26534.38086,28430.05078,28430.05078,7452360000
9/1/20,28439.60938,29199.34961,26537.00977,27781.69922,27781.69922,9973920000
10/1/20,27940.63086,28957.90039,27382.93945,28335.57031,28335.57031,6248640000
