Date,Open,High,Low,Close,Adj Close,Volume
11/1/15,96.919998,100.309998,96.639999,100.169998,100.169998,0
12/1/15,100.25,100.510002,97.190002,98.629997,98.629997,0
1/1/16,98.690002,99.830002,98.050003,99.610001,99.610001,0
2/1/16,99.540001,99.629997,95.239998,98.209999,98.209999,0
3/1/16,98.18,98.580002,94.32,94.589996,94.589996,0
4/1/16,94.639999,95.199997,93.010002,93.080002,93.080002,0
5/1/16,93.019997,95.889999,91.919998,95.889999,95.889999,0
6/1/16,95.82,96.709999,93.019997,96.139999,96.139999,0
7/1/16,95.889999,97.57,95.339996,95.529999,95.529999,0
8/1/16,95.510002,96.519997,94.080002,96.019997,96.019997,0
9/1/16,95.989998,96.330002,94.470001,95.459999,95.459999,0
10/1/16,95.419998,99.120003,95.419998,98.449997,98.449997,0
11/1/16,98.389999,101.919998,95.889999,101.5,101.5,0
12/1/16,101.510002,103.650002,99.43,102.389999,102.389999,0
1/1/17,102.379997,103.82,99.43,99.510002,99.510002,0
2/1/17,99.559998,101.760002,99.230003,101.120003,101.120003,0
3/1/17,101.440002,102.260002,98.860001,100.349998,100.349998,0
4/1/17,100.5,101.339996,98.699997,99.050003,99.050003,0
5/1/17,98.93,99.889999,96.800003,96.919998,96.919998,0
6/1/17,96.989998,97.870003,95.470001,95.660004,95.660004,0
7/1/17,95.620003,96.510002,92.779999,92.860001,92.860001,0
8/1/17,92.889999,94.150002,91.620003,92.669998,92.669998,0
9/1/17,92.610001,93.669998,91.010002,93.080002,93.080002,0
10/1/17,93.290001,95.150002,92.75,94.550003,94.550003,0
11/1/17,94.550003,95.150002,92.5,93.010002,93.010002,0
12/1/17,93.029999,94.220001,92.080002,92.120003,92.120003,0
1/1/18,92.239998,92.639999,88.440002,89.129997,89.129997,0
2/1/18,89.040001,90.699997,88.25,90.610001,90.610001,0
3/1/18,90.669998,90.93,88.940002,89.970001,89.970001,0
4/1/18,89.970001,91.989998,89.230003,91.839996,91.839996,0
5/1/18,91.809998,95.029999,91.800003,93.989998,93.989998,0
6/1/18,93.949997,95.529999,93.190002,94.629997,94.629997,0
7/1/18,94.629997,95.650002,93.709999,94.489998,94.489998,0
8/1/18,94.559998,96.980003,94.43,95.139999,95.139999,0
9/1/18,95.190002,95.739998,93.809998,95.190002,95.190002,0
10/1/18,95.110001,97.199997,94.790001,97.129997,97.129997,0
11/1/18,97.080002,97.690002,95.68,97.269997,97.269997,0
12/1/18,97.129997,97.709999,96.07,96.169998,96.169998,0
1/1/19,96.139999,96.959999,95.029999,95.580002,95.580002,0
2/1/19,95.550003,97.370003,95.400002,96.160004,96.160004,0
3/1/19,96.220001,97.709999,95.739998,97.279999,97.279999,0
4/1/19,97.18,98.330002,96.75,97.480003,97.480003,0
5/1/19,97.529999,98.370003,97.029999,97.790001,97.790001,0
6/1/19,97.639999,97.800003,95.839996,96.129997,96.129997,0
7/1/19,96.25,98.68,96.25,98.519997,98.519997,0
8/1/19,98.589996,99.019997,97.209999,98.919998,98.919998,0
9/1/19,98.830002,99.459999,97.860001,99.379997,99.379997,0
10/1/19,99.400002,99.669998,97.139999,97.349998,97.349998,0
11/1/19,97.300003,98.540001,97.160004,98.269997,98.269997,0
12/1/19,98.269997,98.379997,96.360001,96.389999,96.389999,0
1/1/20,96.706001,98.190002,96.355003,97.389999,97.389999,0
2/1/20,97.370003,99.910004,97.410004,98.129997,98.129997,0
3/1/20,98.080002,102.989998,94.650002,98.949997,98.949997,0
4/1/20,99.010002,100.93,98.809998,99.019997,99.019997,0
5/1/20,99.129997,100.559998,97.949997,98.339996,98.339996,0
6/1/20,98.300003,98.32,95.720001,97.389999,97.389999,0
7/1/20,97.389999,97.620003,92.550003,93.489998,93.489998,0
8/1/20,93.455002,93.989998,91.989998,92.139999,92.139999,0
9/1/20,92.18,94.739998,91.75,93.889999,93.889999,0
10/1/20,93.800003,94.029999,92.470001,93.050003,93.050003,0
